Ordinate,Date,Time,Flow
1,4/30/1999,0:00,213.00
2,4/30/1999,1:00,239.00
3,4/30/1999,2:00,262.00
4,4/30/1999,3:00,280.00
5,4/30/1999,4:00,300.00
6,4/30/1999,5:00,310.00
7,4/30/1999,6:00,320.00
8,4/30/1999,7:00,331.00
9,4/30/1999,8:00,346.00
10,4/30/1999,9:00,382.00
11,4/30/1999,10:00,407.00
12,4/30/1999,11:00,407.00
13,4/30/1999,12:00,407.00
14,4/30/1999,13:00,401.00
15,4/30/1999,14:00,408.00
16,4/30/1999,15:00,401.00
17,4/30/1999,16:00,424.00
18,4/30/1999,17:00,1370.00
19,4/30/1999,18:00,2717.00
20,4/30/1999,19:00,3104.00
21,4/30/1999,20:00,3274.00
22,4/30/1999,21:00,3767.00
23,4/30/1999,22:00,4028.00
24,4/30/1999,23:00,4218.00
25,5/1/1999,0:00,4622.00
26,5/1/1999,1:00,4727.00
27,5/1/1999,2:00,4746.00
28,5/1/1999,3:00,4721.00
29,5/1/1999,4:00,4784.00
30,5/1/1999,5:00,4802.00
31,5/1/1999,6:00,4777.00
32,5/1/1999,7:00,4982.00
33,5/1/1999,8:00,5103.00
34,5/1/1999,9:00,5420.00
35,5/1/1999,10:00,5678.00
36,5/1/1999,11:00,5774.00
37,5/1/1999,12:00,5998.00
38,5/1/1999,13:00,6208.00
39,5/1/1999,14:00,6471.00
40,5/1/1999,15:00,6930.00
41,5/1/1999,16:00,7582.00
42,5/1/1999,17:00,7893.00
43,5/1/1999,18:00,8340.00
44,5/1/1999,19:00,9270.00
45,5/1/1999,20:00,11300.00
46,5/1/1999,21:00,13190.00
47,5/1/1999,22:00,14920.00
48,5/1/1999,23:00,15670.00
49,5/2/1999,0:00,16590.00
50,5/2/1999,1:00,17360.00
51,5/2/1999,2:00,17530.00
52,5/2/1999,3:00,18110.00
53,5/2/1999,4:00,18270.00
54,5/2/1999,5:00,18210.00
55,5/2/1999,6:00,18250.00
56,5/2/1999,7:00,18100.00
57,5/2/1999,8:00,18140.00
58,5/2/1999,9:00,18690.00
59,5/2/1999,10:00,19240.00
60,5/2/1999,11:00,19600.00
61,5/2/1999,12:00,20250.00
62,5/2/1999,13:00,21250.00
63,5/2/1999,14:00,22180.00
64,5/2/1999,15:00,24150.00
65,5/2/1999,16:00,26320.00
66,5/2/1999,17:00,27880.00
67,5/2/1999,18:00,29770.00
68,5/2/1999,19:00,31340.00
69,5/2/1999,20:00,33070.00
70,5/2/1999,21:00,34620.00
71,5/2/1999,22:00,34690.00
72,5/2/1999,23:00,35600.00
73,5/3/1999,0:00,35110.00
74,5/3/1999,1:00,34480.00
75,5/3/1999,2:00,34140.00
76,5/3/1999,3:00,32440.00
77,5/3/1999,4:00,31910.00
78,5/3/1999,5:00,31190.00
79,5/3/1999,6:00,30330.00
80,5/3/1999,7:00,29380.00
81,5/3/1999,8:00,28290.00
82,5/3/1999,9:00,28190.00
83,5/3/1999,10:00,26880.00
84,5/3/1999,11:00,26650.00
85,5/3/1999,12:00,25770.00
86,5/3/1999,13:00,24980.00
87,5/3/1999,14:00,24870.00
88,5/3/1999,15:00,24630.00
89,5/3/1999,16:00,23410.00
90,5/3/1999,17:00,24210.00
91,5/3/1999,18:00,23820.00
92,5/3/1999,19:00,23660.00
93,5/3/1999,20:00,23300.00
94,5/3/1999,21:00,21840.00
95,5/3/1999,22:00,20610.00
96,5/3/1999,23:00,19970.00
97,5/4/1999,0:00,19600.00
98,5/4/1999,1:00,19050.00
99,5/4/1999,2:00,18630.00
100,5/4/1999,3:00,18070.00
101,5/4/1999,4:00,17770.00
102,5/4/1999,5:00,17170.00
103,5/4/1999,6:00,16950.00
104,5/4/1999,7:00,16620.00
105,5/4/1999,8:00,16540.00
106,5/4/1999,9:00,15840.00
107,5/4/1999,10:00,15390.00
108,5/4/1999,11:00,14910.00
109,5/4/1999,12:00,14280.00
110,5/4/1999,13:00,13930.00
111,5/4/1999,14:00,13600.00
112,5/4/1999,15:00,13280.00
113,5/4/1999,16:00,12780.00
114,5/4/1999,17:00,12490.00
115,5/4/1999,18:00,12080.00
116,5/4/1999,19:00,11710.00
117,5/4/1999,20:00,11230.00
118,5/4/1999,21:00,10900.00
119,5/4/1999,22:00,10570.00
120,5/4/1999,23:00,10210.00
121,5/5/1999,0:00,9780.00
122,5/5/1999,1:00,9470.00
123,5/5/1999,2:00,9260.00
124,5/5/1999,3:00,9020.00
125,5/5/1999,4:00,8800.00
126,5/5/1999,5:00,8590.00
127,5/5/1999,6:00,8370.00
128,5/5/1999,7:00,8240.00
129,5/5/1999,8:00,7910.00
130,5/5/1999,9:00,7780.00
131,5/5/1999,10:00,7670.00
132,5/5/1999,11:00,7510.00
133,5/5/1999,12:00,7470.00
134,5/5/1999,13:00,7400.00
135,5/5/1999,14:00,7200.00
136,5/5/1999,15:00,6942.00
137,5/5/1999,16:00,6837.00
138,5/5/1999,17:00,6736.00
139,5/5/1999,18:00,6666.00
140,5/5/1999,19:00,6586.00
141,5/5/1999,20:00,6481.00
142,5/5/1999,21:00,6292.00
143,5/5/1999,22:00,6204.00
144,5/5/1999,23:00,6193.00
145,5/6/1999,0:00,6095.00
146,5/6/1999,1:00,6012.00
147,5/6/1999,2:00,5928.00
148,5/6/1999,3:00,5871.00
149,5/6/1999,4:00,5811.00
150,5/6/1999,5:00,5806.00
151,5/6/1999,6:00,5757.00
152,5/6/1999,7:00,5703.00
153,5/6/1999,8:00,5743.00
154,5/6/1999,9:00,5671.00
155,5/6/1999,10:00,5561.00
156,5/6/1999,11:00,5557.00
157,5/6/1999,12:00,5447.00
158,5/6/1999,13:00,5456.00
159,5/6/1999,14:00,5416.00
160,5/6/1999,15:00,5398.00
161,5/6/1999,16:00,5393.00
162,5/6/1999,17:00,5359.00
163,5/6/1999,18:00,5306.00
164,5/6/1999,19:00,5174.00
165,5/6/1999,20:00,5049.00
166,5/6/1999,21:00,5066.00
167,5/6/1999,22:00,5005.00
168,5/6/1999,23:00,4939.00
169,5/7/1999,0:00,4939.00
170,5/7/1999,1:00,4858.00
171,5/7/1999,2:00,4858.00
172,5/7/1999,3:00,4732.00
173,5/7/1999,4:00,4720.00
174,5/7/1999,5:00,4728.00
175,5/7/1999,6:00,4681.00
176,5/7/1999,7:00,4704.00
177,5/7/1999,8:00,4559.00
178,5/7/1999,9:00,4521.00
179,5/7/1999,10:00,4555.00
180,5/7/1999,11:00,4383.00
181,5/7/1999,12:00,4368.00
182,5/7/1999,13:00,4316.00
183,5/7/1999,14:00,4226.00
184,5/7/1999,15:00,4215.00
185,5/7/1999,16:00,4151.00
186,5/7/1999,17:00,4099.00
187,5/7/1999,18:00,4095.00
188,5/7/1999,19:00,4102.00
189,5/7/1999,20:00,4016.00
190,5/7/1999,21:00,3957.00
191,5/7/1999,22:00,3991.00
192,5/7/1999,23:00,3890.00
193,5/8/1999,0:00,3773.00
194,5/8/1999,1:00,3766.00
195,5/8/1999,2:00,3796.00
196,5/8/1999,3:00,3699.00
197,5/8/1999,4:00,3696.00
198,5/8/1999,5:00,3566.00
199,5/8/1999,6:00,3552.00
200,5/8/1999,7:00,3559.00
201,5/8/1999,8:00,3439.00
202,5/8/1999,9:00,3389.00
203,5/8/1999,10:00,3356.00
204,5/8/1999,11:00,3339.00
205,5/8/1999,12:00,3286.00
206,5/8/1999,13:00,3276.00
207,5/8/1999,14:00,3276.00
208,5/8/1999,15:00,3269.00
209,5/8/1999,16:00,3273.00
210,5/8/1999,17:00,3230.00
211,5/8/1999,18:00,3197.00
212,5/8/1999,19:00,3153.00
213,5/8/1999,20:00,3147.00
214,5/8/1999,21:00,3108.00
215,5/8/1999,22:00,3041.00
216,5/8/1999,23:00,2878.00
217,5/9/1999,0:00,2901.00
218,5/9/1999,1:00,2881.00
219,5/9/1999,2:00,2801.00
220,5/9/1999,3:00,2775.00
221,5/9/1999,4:00,2798.00
222,5/9/1999,5:00,2725.00
223,5/9/1999,6:00,2705.00
224,5/9/1999,7:00,2636.00
225,5/9/1999,8:00,2619.00
226,5/9/1999,9:00,2627.00
227,5/9/1999,10:00,2627.00
228,5/9/1999,11:00,2624.00
229,5/9/1999,12:00,2551.00
230,5/9/1999,13:00,2633.00
231,5/9/1999,14:00,2650.00
232,5/9/1999,15:00,2667.00
233,5/9/1999,16:00,2641.00
234,5/9/1999,17:00,2638.00
235,5/9/1999,18:00,2658.00
236,5/9/1999,19:00,2650.00
237,5/9/1999,20:00,2647.00
238,5/9/1999,21:00,2685.00
239,5/9/1999,22:00,2642.00
240,5/9/1999,23:00,2619.00
241,5/10/1999,0:00,2651.00
